SortType	TabSize	TabType	PercentSort	SortTime	UserTime	SystemTime	Memory
quick	18000	partlysorted	0.50	0.596025	0.59	0.00	2604
quick	18000	reversed	NULL	0.593658	0.59	0.00	2680
quick	18500	random	NULL	0.620095	0.62	0.00	2668
quick	18500	partlysorted	0.50	0.595091	0.59	0.00	2596
quick	18500	reversed	NULL	0.604236	0.60	0.00	2660
quick	19000	random	NULL	0.624372	0.62	0.00	2648
quick	19000	partlysorted	0.50	0.624852	0.62	0.00	2648
quick	19000	reversed	NULL	0.623477	0.62	0.00	2652
quick	19500	random	NULL	0.654736	0.65	0.00	2912
quick	19500	partlysorted	0.50	0.658004	0.65	0.00	2676
quick	19500	reversed	NULL	0.660650	0.65	0.00	2668
quick	20000	random	NULL	0.688820	0.68	0.00	2736
quick	20000	partlysorted	0.50	0.691696	0.69	0.00	2788
quick	20000	reversed	NULL	0.689509	0.69	0.00	2708
quick	20500	random	NULL	0.724108	0.72	0.00	2780
quick	20500	partlysorted	0.50	0.730135	0.72	0.00	2828
quick	20500	reversed	NULL	0.728955	0.72	0.00	2780
quick	21000	random	NULL	0.759397	0.76	0.00	2796
quick	21000	partlysorted	0.50	0.759753	0.76	0.00	2852
quick	21000	reversed	NULL	0.761185	0.76	0.00	2756
quick	21500	random	NULL	0.796370	0.79	0.00	2872
quick	21500	partlysorted	0.50	0.855205	0.85	0.00	2784
quick	21500	reversed	NULL	0.813832	0.81	0.00	2784
quick	22000	random	NULL	0.828413	0.82	0.00	2900
quick	22000	partlysorted	0.50	0.832735	0.83	0.00	2852
quick	22000	reversed	NULL	0.834743	0.82	0.00	2792
quick	22500	random	NULL	0.867874	0.86	0.00	2828
quick	22500	partlysorted	0.50	0.880298	0.88	0.00	2828
quick	22500	reversed	NULL	0.871461	0.86	0.00	2876
quick	23000	random	NULL	0.909906	0.91	0.00	2864
quick	23000	partlysorted	0.50	0.914214	0.91	0.00	2908
quick	23000	reversed	NULL	0.908663	0.90	0.00	2864
quick	23500	random	NULL	0.947519	0.94	0.00	2940
quick	23500	partlysorted	0.50	0.963705	0.96	0.00	2924
quick	23500	reversed	NULL	0.951206	0.95	0.00	2960
quick	24000	random	NULL	0.988352	0.98	0.00	3012
quick	24000	partlysorted	0.50	0.999550	1.00	0.00	2992
quick	24000	reversed	NULL	1.022484	1.01	0.00	3064
quick	24500	random	NULL	1.026226	1.01	0.00	2960
quick	24500	partlysorted	0.50	1.050788	1.05	0.00	2948
quick	24500	reversed	NULL	1.032638	1.03	0.00	2992
quick	25000	random	NULL	1.083556	1.08	0.00	3064
quick	25000	partlysorted	0.50	1.078294	1.07	0.00	2976
quick	25000	reversed	NULL	1.075894	1.07	0.00	2972
